"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"111","0.038485","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-92 dBm","59 dB","Beacon frame, SN=1398, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"546","0.140713","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-92 dBm","57 dB","Beacon frame, SN=1399, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1037","0.242967","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-92 dBm","59 dB","Beacon frame, SN=1400, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1481","0.345798","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-92 dBm","57 dB","Beacon frame, SN=1401, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1856","0.447692","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-34 dBm","-92 dBm","58 dB","Beacon frame, SN=1402, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2123","0.550019","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-92 dBm","57 dB","Beacon frame, SN=1403, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2927","0.755010","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-34 dBm","-92 dBm","58 dB","Beacon frame, SN=1405, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3237","0.857661","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-92 dBm","57 dB","Beacon frame, SN=1406, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3552","0.959666","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-31 dBm","-92 dBm","61 dB","Beacon frame, SN=1407, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3902","1.064444","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-92 dBm","59 dB","Beacon frame, SN=1408, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4230","1.164413","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-92 dBm","59 dB","Beacon frame, SN=1409, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4518","1.269205","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-36 dBm","-92 dBm","56 dB","Beacon frame, SN=1410, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4789","1.369187","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-92 dBm","59 dB","Beacon frame, SN=1411, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5077","1.472094","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-92 dBm","59 dB","Beacon frame, SN=1412, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5300","1.577644","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-92 dBm","59 dB","Beacon frame, SN=1413, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5543","1.676629","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-36 dBm","-92 dBm","56 dB","Beacon frame, SN=1414, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5753","1.779036","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-92 dBm","57 dB","Beacon frame, SN=1415, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6104","1.881509","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-92 dBm","59 dB","Beacon frame, SN=1416, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6513","1.983741","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-36 dBm","-92 dBm","56 dB","Beacon frame, SN=1417, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6934","2.086611","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-92 dBm","59 dB","Beacon frame, SN=1418, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7413","2.188626","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-36 dBm","-92 dBm","56 dB","Beacon frame, SN=1419, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7861","2.292018","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-92 dBm","59 dB","Beacon frame, SN=1420, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8387","2.395148","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-92 dBm","59 dB","Beacon frame, SN=1421, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8826","2.495937","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-92 dBm","57 dB","Beacon frame, SN=1422, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9353","2.599454","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-36 dBm","-92 dBm","56 dB","Beacon frame, SN=1423, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9839","2.700675","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-36 dBm","-92 dBm","56 dB","Beacon frame, SN=1424, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10320","2.802731","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-92 dBm","59 dB","Beacon frame, SN=1425, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10696","2.905479","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-36 dBm","-92 dBm","56 dB","Beacon frame, SN=1426, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
