"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"287","0.084718","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-93 dBm","45 dB","Beacon frame, SN=147, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"561","0.187116","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-50 dBm","-93 dBm","43 dB","Beacon frame, SN=148, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"895","0.289801","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-51 dBm","-93 dBm","42 dB","Beacon frame, SN=149, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1203","0.391896","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-50 dBm","-93 dBm","43 dB","Beacon frame, SN=150, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1517","0.494282","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-51 dBm","-93 dBm","42 dB","Beacon frame, SN=151, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1796","0.596931","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-50 dBm","-93 dBm","43 dB","Beacon frame, SN=152, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2130","0.699162","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-50 dBm","-93 dBm","43 dB","Beacon frame, SN=153, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2467","0.801490","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-93 dBm","44 dB","Beacon frame, SN=154, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2784","0.903873","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-93 dBm","44 dB","Beacon frame, SN=155, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3106","1.006295","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-93 dBm","44 dB","Beacon frame, SN=156, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
