"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"245","0.087339","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3498, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"556","0.189579","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-61 dBm","-94 dBm","33 dB","Beacon frame, SN=3499, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"885","0.291902","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-61 dBm","-94 dBm","33 dB","Beacon frame, SN=3500, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1223","0.394229","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3501, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1491","0.496645","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-61 dBm","-94 dBm","33 dB","Beacon frame, SN=3502, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1799","0.599351","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-61 dBm","-94 dBm","33 dB","Beacon frame, SN=3503, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2063","0.701712","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3504, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2363","0.804189","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-61 dBm","-94 dBm","33 dB","Beacon frame, SN=3505, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2937","1.008697","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3507, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3215","1.111077","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=3508, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3514","1.213435","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-94 dBm","37 dB","Beacon frame, SN=3509, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3820","1.316063","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-62 dBm","-94 dBm","32 dB","Beacon frame, SN=3510, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4163","1.418610","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-61 dBm","-94 dBm","33 dB","Beacon frame, SN=3511, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4469","1.520815","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3512, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4827","1.623021","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3513, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5163","1.725540","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3514, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5498","1.828019","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3515, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5836","1.930491","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=3516, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6182","2.032620","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=3517, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6553","2.135013","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=3518, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7160","2.339848","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3520, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7446","2.442173","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-94 dBm","38 dB","Beacon frame, SN=3521, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7738","2.544595","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-94 dBm","38 dB","Beacon frame, SN=3522, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8043","2.647258","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3523, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8385","2.749658","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-94 dBm","35 dB","Beacon frame, SN=3524, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8647","2.851894","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=3525, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9009","2.954178","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-94 dBm","37 dB","Beacon frame, SN=3526, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9355","3.056630","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-94 dBm","38 dB","Beacon frame, SN=3527, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9699","3.158961","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-94 dBm","37 dB","Beacon frame, SN=3528, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10046","3.261404","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=3529, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10383","3.363655","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=3530, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10692","3.466365","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-94 dBm","37 dB","Beacon frame, SN=3531, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10987","3.569290","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=3532, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11242","3.670934","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-94 dBm","35 dB","Beacon frame, SN=3533, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11530","3.773610","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3534, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11871","3.875704","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-61 dBm","-94 dBm","33 dB","Beacon frame, SN=3535, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12186","3.978112","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3536, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12538","4.080408","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3537, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12887","4.182938","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=3538, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13185","4.285383","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=3539, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13490","4.387748","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3540, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13802","4.490169","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=3541, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14149","4.592512","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=3542, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14481","4.694882","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=3543, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14784","4.796895","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=3544, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"15101","4.899703","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-94 dBm","35 dB","Beacon frame, SN=3545, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"15502","5.002346","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3546, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"15891","5.104764","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=3547, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"16617","5.309533","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3549, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"16993","5.411282","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-94 dBm","35 dB","Beacon frame, SN=3550, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"17356","5.514342","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-94 dBm","35 dB","Beacon frame, SN=3551, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"17734","5.616602","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3552, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"18112","5.718922","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=3553, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"18471","5.821232","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=3554, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"18836","5.923646","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-94 dBm","35 dB","Beacon frame, SN=3555, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"19211","6.026333","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=3556, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"19599","6.128779","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-94 dBm","35 dB","Beacon frame, SN=3557, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
