"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"387","0.074692","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-34 dBm","-92 dBm","58 dB","Beacon frame, SN=965, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"822","0.177138","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-34 dBm","-92 dBm","58 dB","Beacon frame, SN=966, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1376","0.279150","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-92 dBm","57 dB","Beacon frame, SN=967, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1775","0.381679","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-92 dBm","57 dB","Beacon frame, SN=968, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2465","0.586349","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-31 dBm","-92 dBm","61 dB","Beacon frame, SN=970, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2754","0.689053","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-92 dBm","59 dB","Beacon frame, SN=971, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3052","0.790858","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-92 dBm","57 dB","Beacon frame, SN=972, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3355","0.893940","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-92 dBm","57 dB","Beacon frame, SN=973, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3684","0.996258","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-92 dBm","59 dB","Beacon frame, SN=974, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4042","1.099080","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-31 dBm","-92 dBm","61 dB","Beacon frame, SN=975, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4373","1.200837","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-92 dBm","57 dB","Beacon frame, SN=976, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4737","1.303147","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-92 dBm","57 dB","Beacon frame, SN=977, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5133","1.405759","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-32 dBm","-92 dBm","60 dB","Beacon frame, SN=978, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5431","1.508185","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-92 dBm","57 dB","Beacon frame, SN=979, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5720","1.611017","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-34 dBm","-92 dBm","58 dB","Beacon frame, SN=980, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6048","1.712914","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-92 dBm","59 dB","Beacon frame, SN=981, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
