"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"231","0.066645","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=931, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"539","0.168894","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=932, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"825","0.271297","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=933, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1113","0.373706","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=934, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1408","0.476139","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=935, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1731","0.578895","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=936, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2015","0.680910","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-54 dBm","-93 dBm","39 dB","Beacon frame, SN=937, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2368","0.783345","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=938, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2703","0.885921","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=939, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3012","0.988469","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-51 dBm","-93 dBm","42 dB","Beacon frame, SN=940, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
