"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"19","0.005996","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=1473, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"386","0.108534","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=1474, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"758","0.211102","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=1475, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1072","0.313345","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=1476, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1345","0.415673","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=1477, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1618","0.518135","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=1478, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1914","0.620664","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=1479, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2186","0.722898","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=1480, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2522","0.825595","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=1481, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2881","0.927670","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=1482, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3221","1.030035","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=1483, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3565","1.132464","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=1484, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3876","1.234857","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=1485, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4550","1.439629","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=1487, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4880","1.541754","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=1488, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5210","1.644694","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=1489, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5539","1.746956","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=1490, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5872","1.849267","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=1491, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6175","1.952030","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=1492, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6495","2.054267","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=1493, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6879","2.156400","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=1494, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7238","2.258790","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=1495, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7548","2.361187","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=1496, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7885","2.463800","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=1497, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8222","2.566268","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=1498, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8613","2.668369","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=1499, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8994","2.771446","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=1500, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9351","2.873450","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=1501, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9707","2.975726","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=1502, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10100","3.078216","fa:b6:bc:57:2b:fd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=1503, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
