"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"178","0.044299","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-88 dBm","41 dB","Beacon frame, SN=3932, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"624","0.147328","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-88 dBm","41 dB","Beacon frame, SN=3933, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1152","0.249315","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-88 dBm","41 dB","Beacon frame, SN=3934, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1662","0.351330","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-51 dBm","-88 dBm","37 dB","Beacon frame, SN=3935, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2209","0.453793","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-88 dBm","40 dB","Beacon frame, SN=3936, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2728","0.556671","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-88 dBm","40 dB","Beacon frame, SN=3937, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3272","0.658599","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-52 dBm","-88 dBm","36 dB","Beacon frame, SN=3938, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3790","0.761294","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-52 dBm","-88 dBm","36 dB","Beacon frame, SN=3939, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4197","0.863241","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-88 dBm","40 dB","Beacon frame, SN=3940, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4680","0.966906","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-50 dBm","-88 dBm","38 dB","Beacon frame, SN=3941, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5193","1.068779","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-52 dBm","-88 dBm","36 dB","Beacon frame, SN=3942, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5651","1.172848","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-88 dBm","40 dB","Beacon frame, SN=3943, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5941","1.272808","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-88 dBm","40 dB","Beacon frame, SN=3944, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6498","1.375494","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-88 dBm","40 dB","Beacon frame, SN=3945, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7130","1.477529","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-88 dBm","40 dB","Beacon frame, SN=3946, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7743","1.580387","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-88 dBm","40 dB","Beacon frame, SN=3947, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8876","1.785015","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-52 dBm","-88 dBm","36 dB","Beacon frame, SN=3949, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9204","1.887299","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-50 dBm","-88 dBm","38 dB","Beacon frame, SN=3950, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9620","1.990384","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-88 dBm","40 dB","Beacon frame, SN=3951, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9992","2.092170","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-88 dBm","40 dB","Beacon frame, SN=3952, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10361","2.195927","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-52 dBm","-88 dBm","36 dB","Beacon frame, SN=3953, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10754","2.298025","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-88 dBm","39 dB","Beacon frame, SN=3954, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11143","2.399377","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-88 dBm","39 dB","Beacon frame, SN=3955, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11583","2.501688","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-53 dBm","-88 dBm","35 dB","Beacon frame, SN=3956, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12076","2.604304","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-88 dBm","39 dB","Beacon frame, SN=3957, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12721","2.706950","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-88 dBm","39 dB","Beacon frame, SN=3958, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13408","2.808699","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-88 dBm","39 dB","Beacon frame, SN=3959, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14032","2.911442","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-88 dBm","39 dB","Beacon frame, SN=3960, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14661","3.013518","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-50 dBm","-88 dBm","38 dB","Beacon frame, SN=3961, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"15271","3.116210","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-88 dBm","39 dB","Beacon frame, SN=3962, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"15785","3.218722","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-53 dBm","-88 dBm","35 dB","Beacon frame, SN=3963, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"16286","3.321078","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-88 dBm","39 dB","Beacon frame, SN=3964, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"16836","3.423503","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-88 dBm","39 dB","Beacon frame, SN=3965, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
