"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"308","0.077222","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-39 dBm","-92 dBm","53 dB","Beacon frame, SN=1915, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"642","0.181883","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-92 dBm","51 dB","Beacon frame, SN=1916, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"994","0.281759","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-39 dBm","-92 dBm","53 dB","Beacon frame, SN=1917, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1374","0.384492","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-38 dBm","-92 dBm","54 dB","Beacon frame, SN=1918, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1802","0.486768","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-92 dBm","51 dB","Beacon frame, SN=1919, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2265","0.590058","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-39 dBm","-92 dBm","53 dB","Beacon frame, SN=1920, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2666","0.691326","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-39 dBm","-92 dBm","53 dB","Beacon frame, SN=1921, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3202","0.793643","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-92 dBm","51 dB","Beacon frame, SN=1922, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3792","0.896167","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-92 dBm","51 dB","Beacon frame, SN=1923, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4363","0.998862","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-39 dBm","-92 dBm","53 dB","Beacon frame, SN=1924, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4901","1.101340","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-42 dBm","-92 dBm","50 dB","Beacon frame, SN=1925, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
