"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"45","0.009870","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-26 dBm","-92 dBm","66 dB","Beacon frame, SN=513, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"370","0.115314","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-24 dBm","-92 dBm","68 dB","Beacon frame, SN=514, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"737","0.214709","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-24 dBm","-92 dBm","68 dB","Beacon frame, SN=515, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1122","0.319730","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-24 dBm","-92 dBm","68 dB","Beacon frame, SN=516, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1452","0.419335","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-26 dBm","-92 dBm","66 dB","Beacon frame, SN=517, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1761","0.521657","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-25 dBm","-92 dBm","67 dB","Beacon frame, SN=518, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2182","0.624470","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-25 dBm","-92 dBm","67 dB","Beacon frame, SN=519, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2863","0.726523","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-27 dBm","-92 dBm","65 dB","Beacon frame, SN=520, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3319","0.829061","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-25 dBm","-92 dBm","67 dB","Beacon frame, SN=521, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4349","1.034042","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-25 dBm","-92 dBm","67 dB","Beacon frame, SN=523, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4846","1.136477","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-26 dBm","-92 dBm","66 dB","Beacon frame, SN=524, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5411","1.238633","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-25 dBm","-92 dBm","67 dB","Beacon frame, SN=525, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5773","1.341102","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-25 dBm","-92 dBm","67 dB","Beacon frame, SN=526, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6476","1.545905","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-24 dBm","-92 dBm","68 dB","Beacon frame, SN=528, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7084","1.751184","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-25 dBm","-92 dBm","67 dB","Beacon frame, SN=530, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7344","1.853171","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-27 dBm","-92 dBm","65 dB","Beacon frame, SN=531, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7599","1.955604","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-25 dBm","-92 dBm","67 dB","Beacon frame, SN=532, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7863","2.058143","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-24 dBm","-92 dBm","68 dB","Beacon frame, SN=533, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8222","2.160869","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-24 dBm","-92 dBm","68 dB","Beacon frame, SN=534, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8608","2.263024","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-25 dBm","-92 dBm","67 dB","Beacon frame, SN=535, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9114","2.365760","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-25 dBm","-92 dBm","67 dB","Beacon frame, SN=536, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9614","2.468183","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-25 dBm","-92 dBm","67 dB","Beacon frame, SN=537, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10065","2.570108","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-26 dBm","-92 dBm","66 dB","Beacon frame, SN=538, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10439","2.673007","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-25 dBm","-92 dBm","67 dB","Beacon frame, SN=539, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10793","2.775132","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-26 dBm","-92 dBm","66 dB","Beacon frame, SN=540, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11171","2.877739","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-25 dBm","-92 dBm","67 dB","Beacon frame, SN=541, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11538","2.980559","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-26 dBm","-92 dBm","66 dB","Beacon frame, SN=542, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11898","3.082334","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-25 dBm","-92 dBm","67 dB","Beacon frame, SN=543, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12295","3.185096","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-23 dBm","-92 dBm","69 dB","Beacon frame, SN=544, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12761","3.287175","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-24 dBm","-92 dBm","68 dB","Beacon frame, SN=545, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13477","3.492164","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-25 dBm","-92 dBm","67 dB","Beacon frame, SN=547, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13860","3.596100","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-26 dBm","-92 dBm","66 dB","Beacon frame, SN=548, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14267","3.696920","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-28 dBm","-92 dBm","64 dB","Beacon frame, SN=549, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14754","3.799313","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-24 dBm","-92 dBm","68 dB","Beacon frame, SN=550, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"15206","3.902744","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-24 dBm","-92 dBm","68 dB","Beacon frame, SN=551, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"15652","4.006192","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-25 dBm","-92 dBm","67 dB","Beacon frame, SN=552, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"16060","4.106936","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-24 dBm","-92 dBm","68 dB","Beacon frame, SN=553, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"16452","4.208810","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-24 dBm","-92 dBm","68 dB","Beacon frame, SN=554, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"17160","4.311924","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-25 dBm","-92 dBm","67 dB","Beacon frame, SN=555, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"17505","4.413972","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-26 dBm","-92 dBm","66 dB","Beacon frame, SN=556, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
