"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"233","0.086186","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-92 dBm","49 dB","Beacon frame, SN=3253, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"562","0.188363","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-92 dBm","49 dB","Beacon frame, SN=3254, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"811","0.290937","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-92 dBm","51 dB","Beacon frame, SN=3255, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1117","0.393226","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-40 dBm","-92 dBm","52 dB","Beacon frame, SN=3256, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1573","0.495396","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-92 dBm","49 dB","Beacon frame, SN=3257, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2289","0.700458","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-92 dBm","51 dB","Beacon frame, SN=3259, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2743","0.803856","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-92 dBm","48 dB","Beacon frame, SN=3260, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3099","0.905399","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-92 dBm","48 dB","Beacon frame, SN=3261, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3453","1.007194","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-92 dBm","51 dB","Beacon frame, SN=3262, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3841","1.113497","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-92 dBm","48 dB","Beacon frame, SN=3263, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4108","1.212094","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-92 dBm","51 dB","Beacon frame, SN=3264, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4464","1.314589","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-92 dBm","49 dB","Beacon frame, SN=3265, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4792","1.417109","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-40 dBm","-92 dBm","52 dB","Beacon frame, SN=3266, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5034","1.521017","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-40 dBm","-92 dBm","52 dB","Beacon frame, SN=3267, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5359","1.621707","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-92 dBm","49 dB","Beacon frame, SN=3268, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5675","1.724192","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-40 dBm","-92 dBm","52 dB","Beacon frame, SN=3269, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5931","1.828499","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-92 dBm","51 dB","Beacon frame, SN=3270, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6313","1.929051","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-92 dBm","48 dB","Beacon frame, SN=3271, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6554","2.031741","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-92 dBm","49 dB","Beacon frame, SN=3272, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6846","2.135164","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-92 dBm","49 dB","Beacon frame, SN=3273, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7225","2.239807","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-92 dBm","49 dB","Beacon frame, SN=3274, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7559","2.338513","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-40 dBm","-92 dBm","52 dB","Beacon frame, SN=3275, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7861","2.440821","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-92 dBm","48 dB","Beacon frame, SN=3276, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8184","2.543386","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-40 dBm","-92 dBm","52 dB","Beacon frame, SN=3277, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8524","2.646442","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-92 dBm","48 dB","Beacon frame, SN=3278, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8969","2.748260","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-92 dBm","48 dB","Beacon frame, SN=3279, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9417","2.850491","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-92 dBm","51 dB","Beacon frame, SN=3280, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9777","2.954503","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-92 dBm","51 dB","Beacon frame, SN=3281, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10202","3.055168","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-92 dBm","48 dB","Beacon frame, SN=3282, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10599","3.158181","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-92 dBm","51 dB","Beacon frame, SN=3283, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10902","3.260436","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-92 dBm","49 dB","Beacon frame, SN=3284, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11314","3.362682","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-92 dBm","48 dB","Beacon frame, SN=3285, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11660","3.466823","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-92 dBm","51 dB","Beacon frame, SN=3286, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12057","3.568861","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-92 dBm","48 dB","Beacon frame, SN=3287, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12459","3.670082","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-92 dBm","48 dB","Beacon frame, SN=3288, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12850","3.772312","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-92 dBm","48 dB","Beacon frame, SN=3289, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
