"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"213","0.059561","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-94 dBm","35 dB","Beacon frame, SN=4006, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"573","0.162419","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-94 dBm","34 dB","Beacon frame, SN=4007, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"922","0.265109","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-94 dBm","37 dB","Beacon frame, SN=4008, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1227","0.367484","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-94 dBm","37 dB","Beacon frame, SN=4009, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1549","0.469662","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-94 dBm","36 dB","Beacon frame, SN=4010, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1873","0.572043","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-94 dBm","39 dB","Beacon frame, SN=4011, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2207","0.674135","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-94 dBm","38 dB","Beacon frame, SN=4012, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2535","0.776853","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-94 dBm","39 dB","Beacon frame, SN=4013, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2865","0.879218","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-94 dBm","38 dB","Beacon frame, SN=4014, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3190","0.982968","06:38:93:02:7b:d2","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-94 dBm","37 dB","Beacon frame, SN=4015, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
