"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"25","0.010785","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-93 dBm","60 dB","Beacon frame, SN=3261, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"297","0.113449","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-31 dBm","-93 dBm","62 dB","Beacon frame, SN=3262, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"548","0.215840","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-32 dBm","-93 dBm","61 dB","Beacon frame, SN=3263, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"798","0.318123","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-34 dBm","-93 dBm","59 dB","Beacon frame, SN=3264, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1036","0.420300","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-32 dBm","-93 dBm","61 dB","Beacon frame, SN=3265, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1308","0.523030","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-31 dBm","-93 dBm","62 dB","Beacon frame, SN=3266, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1574","0.625121","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-93 dBm","60 dB","Beacon frame, SN=3267, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2036","0.829760","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-93 dBm","60 dB","Beacon frame, SN=3269, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2285","0.932320","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-31 dBm","-93 dBm","62 dB","Beacon frame, SN=3270, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2530","1.034685","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-93 dBm","60 dB","Beacon frame, SN=3271, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2769","1.137129","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-32 dBm","-93 dBm","61 dB","Beacon frame, SN=3272, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2992","1.239587","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-93 dBm","60 dB","Beacon frame, SN=3273, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3224","1.341967","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-34 dBm","-93 dBm","59 dB","Beacon frame, SN=3274, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3440","1.443434","7a:e1:e2:e2:29:8a","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-93 dBm","58 dB","Beacon frame, SN=3275, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
