"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"100","0.032987","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=1850, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"431","0.135531","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-54 dBm","-93 dBm","39 dB","Beacon frame, SN=1851, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"741","0.237786","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=1852, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1060","0.340262","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=1853, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1375","0.442598","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=1854, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1687","0.545029","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-54 dBm","-93 dBm","39 dB","Beacon frame, SN=1855, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1992","0.647704","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=1856, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2294","0.749758","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=1857, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2676","0.852174","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=1858, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3029","0.954559","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=1859, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3404","1.057194","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=1860, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3791","1.159339","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=1861, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4211","1.261852","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-55 dBm","-93 dBm","38 dB","Beacon frame, SN=1862, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4605","1.364464","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=1863, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
