"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"20705","6.642299","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=936, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"21042","6.744898","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=937, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"21368","6.847317","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=938, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"21666","6.949390","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=939, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"21992","7.052100","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-93 dBm","49 dB","Beacon frame, SN=940, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"22299","7.154321","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=941, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"22989","7.359128","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=943, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"23361","7.461408","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=944, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"23792","7.563997","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-93 dBm","49 dB","Beacon frame, SN=945, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"24161","7.666291","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=946, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"24487","7.768590","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=947, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"24812","7.871001","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=948, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"25195","7.973422","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-93 dBm","49 dB","Beacon frame, SN=949, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"25519","8.075736","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-93 dBm","49 dB","Beacon frame, SN=950, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"25869","8.178221","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=951, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"26206","8.280580","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=952, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"26503","8.382952","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=953, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"26835","8.485658","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=954, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"27169","8.587598","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-93 dBm","45 dB","Beacon frame, SN=955, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"27566","8.690416","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=956, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"27880","8.792793","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=957, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"28151","8.895298","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=958, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"28485","8.997612","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-93 dBm","48 dB","Beacon frame, SN=959, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"28849","9.100060","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=960, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"29148","9.202126","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-93 dBm","49 dB","Beacon frame, SN=961, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"29778","9.406933","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-93 dBm","49 dB","Beacon frame, SN=963, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"30025","9.509361","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=964, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"30301","9.611702","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-93 dBm","45 dB","Beacon frame, SN=965, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"30542","9.714396","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=966, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"30826","9.816785","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=967, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"31119","9.919181","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-93 dBm","44 dB","Beacon frame, SN=968, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"31427","10.021312","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-93 dBm","44 dB","Beacon frame, SN=969, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"31707","10.123718","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-93 dBm","44 dB","Beacon frame, SN=970, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"32033","10.226400","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-93 dBm","44 dB","Beacon frame, SN=971, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"32321","10.328505","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-93 dBm","44 dB","Beacon frame, SN=972, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"32592","10.431083","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=973, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"32882","10.533566","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-93 dBm","47 dB","Beacon frame, SN=974, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"33190","10.635657","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-93 dBm","45 dB","Beacon frame, SN=975, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"33518","10.738110","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=976, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"33802","10.840744","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-93 dBm","44 dB","Beacon frame, SN=977, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"34432","11.045255","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-93 dBm","46 dB","Beacon frame, SN=979, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
