"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"165","0.050802","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-88 dBm","44 dB","Beacon frame, SN=3346, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"443","0.153016","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-88 dBm","45 dB","Beacon frame, SN=3347, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"746","0.255560","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-88 dBm","42 dB","Beacon frame, SN=3348, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"966","0.358145","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-88 dBm","43 dB","Beacon frame, SN=3349, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1285","0.460398","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-88 dBm","43 dB","Beacon frame, SN=3350, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1602","0.562631","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-88 dBm","43 dB","Beacon frame, SN=3351, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1920","0.664912","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-88 dBm","44 dB","Beacon frame, SN=3352, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2237","0.767616","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-88 dBm","44 dB","Beacon frame, SN=3353, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2497","0.869980","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-88 dBm","43 dB","Beacon frame, SN=3354, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2772","0.972734","92:35:99:84:70:30","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-88 dBm","43 dB","Beacon frame, SN=3355, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
