"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"266","0.089035","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-53 dBm","-93 dBm","40 dB","Beacon frame, SN=1373, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"603","0.191456","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-53 dBm","-93 dBm","40 dB","Beacon frame, SN=1374, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"925","0.294134","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-56 dBm","-93 dBm","37 dB","Beacon frame, SN=1375, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1268","0.397670","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-53 dBm","-93 dBm","40 dB","Beacon frame, SN=1376, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1585","0.498615","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-53 dBm","-93 dBm","40 dB","Beacon frame, SN=1377, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1874","0.601314","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-53 dBm","-93 dBm","40 dB","Beacon frame, SN=1378, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2266","0.703424","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-54 dBm","-93 dBm","39 dB","Beacon frame, SN=1379, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2625","0.806047","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-53 dBm","-93 dBm","40 dB","Beacon frame, SN=1380, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3020","0.908288","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-54 dBm","-93 dBm","39 dB","Beacon frame, SN=1381, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3353","1.010479","86:f9:72:ce:b6:cd","ff:ff:ff:ff:ff:ff","802.11","444","-54 dBm","-93 dBm","39 dB","Beacon frame, SN=1382, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
