"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"532","0.155160","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-92 dBm","45 dB","Beacon frame, SN=2852, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"914","0.257194","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-92 dBm","46 dB","Beacon frame, SN=2853, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1206","0.359757","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-92 dBm","47 dB","Beacon frame, SN=2854, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1597","0.461989","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-92 dBm","43 dB","Beacon frame, SN=2855, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1980","0.564672","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-92 dBm","45 dB","Beacon frame, SN=2856, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2394","0.666934","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-92 dBm","45 dB","Beacon frame, SN=2857, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2762","0.769444","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-92 dBm","46 dB","Beacon frame, SN=2858, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3126","0.871876","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-50 dBm","-92 dBm","42 dB","Beacon frame, SN=2859, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3469","0.974000","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-92 dBm","44 dB","Beacon frame, SN=2860, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3887","1.076399","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-92 dBm","43 dB","Beacon frame, SN=2861, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4205","1.179660","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-50 dBm","-92 dBm","42 dB","Beacon frame, SN=2862, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4540","1.281228","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-92 dBm","45 dB","Beacon frame, SN=2863, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4856","1.383630","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-92 dBm","46 dB","Beacon frame, SN=2864, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5160","1.485995","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-92 dBm","44 dB","Beacon frame, SN=2865, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5901","1.691034","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-92 dBm","47 dB","Beacon frame, SN=2867, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6205","1.793317","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-92 dBm","47 dB","Beacon frame, SN=2868, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6539","1.895851","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-92 dBm","45 dB","Beacon frame, SN=2869, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6865","1.997956","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-92 dBm","45 dB","Beacon frame, SN=2870, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7237","2.100360","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-92 dBm","47 dB","Beacon frame, SN=2871, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7668","2.203242","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-92 dBm","46 dB","Beacon frame, SN=2872, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8110","2.305253","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-92 dBm","43 dB","Beacon frame, SN=2873, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8517","2.407558","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-92 dBm","45 dB","Beacon frame, SN=2874, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8910","2.509924","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-92 dBm","43 dB","Beacon frame, SN=2875, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9258","2.612105","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-92 dBm","43 dB","Beacon frame, SN=2876, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9622","2.716148","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-92 dBm","45 dB","Beacon frame, SN=2877, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9980","2.817250","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-92 dBm","46 dB","Beacon frame, SN=2878, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10366","2.919567","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-92 dBm","43 dB","Beacon frame, SN=2879, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10725","3.021965","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-92 dBm","44 dB","Beacon frame, SN=2880, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11073","3.125052","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-92 dBm","45 dB","Beacon frame, SN=2881, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11442","3.227150","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-92 dBm","43 dB","Beacon frame, SN=2882, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11833","3.329211","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-92 dBm","45 dB","Beacon frame, SN=2883, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12187","3.431523","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-92 dBm","43 dB","Beacon frame, SN=2884, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12616","3.534032","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-92 dBm","45 dB","Beacon frame, SN=2885, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13093","3.636354","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-92 dBm","46 dB","Beacon frame, SN=2886, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13623","3.738740","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-92 dBm","43 dB","Beacon frame, SN=2887, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14074","3.841415","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-92 dBm","43 dB","Beacon frame, SN=2888, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14449","3.943538","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-92 dBm","45 dB","Beacon frame, SN=2889, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14815","4.046394","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-50 dBm","-92 dBm","42 dB","Beacon frame, SN=2890, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"15105","4.148394","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-92 dBm","43 dB","Beacon frame, SN=2891, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"15425","4.250839","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-92 dBm","45 dB","Beacon frame, SN=2892, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"15783","4.353476","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-92 dBm","43 dB","Beacon frame, SN=2893, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"16089","4.455854","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-92 dBm","44 dB","Beacon frame, SN=2894, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"16453","4.557972","e2:bb:15:72:70:e6","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-92 dBm","46 dB","Beacon frame, SN=2895, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
