"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"21731","11.079136","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=428, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"21926","11.181529","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=429, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"22103","11.283881","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=430, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"22490","11.488681","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=432, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"22722","11.591320","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=433, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"22985","11.693440","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=434, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"23177","11.795907","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=435, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"24056","11.898269","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=436, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"24475","12.000685","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=437, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"24636","12.103092","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=438, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"24813","12.205475","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=439, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"25023","12.307649","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","105","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=440, FN=0, Flags=........C, BI=100, SSID=""Z5319476""[Malformed Packet: length of contained item exceeds length of containing item]"
"25321","12.410313","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=441, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"25559","12.512442","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=442, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"25842","12.615362","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=443, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"27140","12.717497","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=444, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"28577","12.922290","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-93 dBm","33 dB","Beacon frame, SN=446, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"28773","13.024652","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=447, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"28960","13.127051","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=448, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"29189","13.229483","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-93 dBm","33 dB","Beacon frame, SN=449, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"29361","13.332105","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=450, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"29613","13.434216","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=451, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"29884","13.536651","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-60 dBm","-93 dBm","33 dB","Beacon frame, SN=452, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"30067","13.638723","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=453, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"30297","13.741419","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=454, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"30510","13.843870","c2:ca:2f:21:07:9c","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=455, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
