"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"1933","10.008048","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","-46 dBm","-89 dBm","43 dB","Beacon frame, SN=1341, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1949","10.111021","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-89 dBm","89 dB","Beacon frame, SN=1342, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1969","10.212767","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-89 dBm","89 dB","Beacon frame, SN=1343, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1989","10.315526","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","-53 dBm","-89 dBm","36 dB","Beacon frame, SN=1344, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2011","10.417615","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","-46 dBm","-89 dBm","43 dB","Beacon frame, SN=1345, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2050","10.622493","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","-53 dBm","-89 dBm","36 dB","Beacon frame, SN=1347, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2072","10.725075","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","0 dBm","-89 dBm","89 dB","Beacon frame, SN=1348, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2088","10.827688","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","-46 dBm","-89 dBm","43 dB","Beacon frame, SN=1349, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2104","10.929717","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","-53 dBm","-90 dBm","37 dB","Beacon frame, SN=1350, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2121","11.033990","f2:4c:31:a6:07:2c","ff:ff:ff:ff:ff:ff","802.11","290","-52 dBm","-90 dBm","38 dB","Beacon frame, SN=1351, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
