"No.","Time","Source","Destination","Protocol","Length","Signal strength (RSSI)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"12504","8.105013","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3222, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12691","8.208714","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=3223, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13069","8.412193","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3225, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13226","8.514938","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3226, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13407","8.617241","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3227, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13561","8.719978","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3228, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13702","8.821760","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3229, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13842","8.924766","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-58 dBm","-93 dBm","35 dB","Beacon frame, SN=3230, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13955","9.026562","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-93 dBm","36 dB","Beacon frame, SN=3231, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14093","9.129273","f2:60:6c:26:db:ed","ff:ff:ff:ff:ff:ff","802.11","444","-59 dBm","-93 dBm","34 dB","Beacon frame, SN=3232, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
