"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"11","0.015086","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-31 dBm","-84 dBm","53 dB","Beacon frame, SN=3180, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"103","0.117714","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-29 dBm","-84 dBm","55 dB","Beacon frame, SN=3181, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"188","0.219899","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-28 dBm","-84 dBm","56 dB","Beacon frame, SN=3182, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"251","0.322267","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-31 dBm","-84 dBm","53 dB","Beacon frame, SN=3183, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"336","0.424680","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-28 dBm","-84 dBm","56 dB","Beacon frame, SN=3184, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"438","0.527790","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-28 dBm","-84 dBm","56 dB","Beacon frame, SN=3185, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"550","0.629509","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-29 dBm","-84 dBm","55 dB","Beacon frame, SN=3186, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"636","0.731878","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-29 dBm","-84 dBm","55 dB","Beacon frame, SN=3187, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"709","0.834284","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-29 dBm","-84 dBm","55 dB","Beacon frame, SN=3188, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"789","0.936694","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-27 dBm","-84 dBm","57 dB","Beacon frame, SN=3189, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"881","1.039092","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-27 dBm","-84 dBm","57 dB","Beacon frame, SN=3190, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1154","1.243874","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-28 dBm","-84 dBm","56 dB","Beacon frame, SN=3192, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1296","1.346236","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-29 dBm","-84 dBm","55 dB","Beacon frame, SN=3193, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1453","1.448948","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-29 dBm","-84 dBm","55 dB","Beacon frame, SN=3194, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
