"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"1589","1.552632","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","0 dBm","-84 dBm","84 dB","Beacon frame, SN=3195, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1732","1.653535","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-34 dBm","-84 dBm","50 dB","Beacon frame, SN=3196, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"1898","1.756013","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-32 dBm","-84 dBm","52 dB","Beacon frame, SN=3197, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2049","1.858563","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-32 dBm","-84 dBm","52 dB","Beacon frame, SN=3198, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2187","1.960831","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-34 dBm","-84 dBm","50 dB","Beacon frame, SN=3199, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2307","2.063105","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-30 dBm","-84 dBm","54 dB","Beacon frame, SN=3200, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2401","2.165528","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-27 dBm","-84 dBm","57 dB","Beacon frame, SN=3201, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2500","2.267950","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-27 dBm","-84 dBm","57 dB","Beacon frame, SN=3202, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2577","2.370270","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-26 dBm","-84 dBm","58 dB","Beacon frame, SN=3203, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2636","2.472722","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-28 dBm","-84 dBm","56 dB","Beacon frame, SN=3204, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2716","2.575083","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-26 dBm","-84 dBm","58 dB","Beacon frame, SN=3205, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2817","2.677506","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-29 dBm","-84 dBm","55 dB","Beacon frame, SN=3206, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2899","2.779906","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","0 dBm","-84 dBm","84 dB","Beacon frame, SN=3207, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"2980","2.882292","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-32 dBm","-84 dBm","52 dB","Beacon frame, SN=3208, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3059","2.984698","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-36 dBm","-84 dBm","48 dB","Beacon frame, SN=3209, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3116","3.087097","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-34 dBm","-84 dBm","50 dB","Beacon frame, SN=3210, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3173","3.189885","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-84 dBm","49 dB","Beacon frame, SN=3211, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3241","3.291930","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-84 dBm","49 dB","Beacon frame, SN=3212, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3328","3.400563","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-84 dBm","49 dB","Beacon frame, SN=3213, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3383","3.496699","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-84 dBm","51 dB","Beacon frame, SN=3214, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3459","3.599098","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-30 dBm","-84 dBm","54 dB","Beacon frame, SN=3215, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3547","3.702656","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-32 dBm","-84 dBm","52 dB","Beacon frame, SN=3216, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3658","3.803913","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-31 dBm","-84 dBm","53 dB","Beacon frame, SN=3217, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3767","3.906315","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-36 dBm","-84 dBm","48 dB","Beacon frame, SN=3218, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3831","4.008725","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-32 dBm","-84 dBm","52 dB","Beacon frame, SN=3219, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3908","4.111109","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-29 dBm","-84 dBm","55 dB","Beacon frame, SN=3220, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"3981","4.213517","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-38 dBm","-84 dBm","46 dB","Beacon frame, SN=3221, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4068","4.315941","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-38 dBm","-84 dBm","46 dB","Beacon frame, SN=3222, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4160","4.418315","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-39 dBm","-84 dBm","45 dB","Beacon frame, SN=3223, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4238","4.520767","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-37 dBm","-84 dBm","47 dB","Beacon frame, SN=3224, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4322","4.623386","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-39 dBm","-84 dBm","45 dB","Beacon frame, SN=3225, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4410","4.725528","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-36 dBm","-84 dBm","48 dB","Beacon frame, SN=3226, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4491","4.827891","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-84 dBm","49 dB","Beacon frame, SN=3227, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4580","4.930316","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-34 dBm","-84 dBm","50 dB","Beacon frame, SN=3228, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4672","5.032712","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-34 dBm","-84 dBm","50 dB","Beacon frame, SN=3229, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4752","5.135133","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-36 dBm","-84 dBm","48 dB","Beacon frame, SN=3230, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4859","5.239940","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-34 dBm","-84 dBm","50 dB","Beacon frame, SN=3231, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"4968","5.339912","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-35 dBm","-84 dBm","49 dB","Beacon frame, SN=3232, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5058","5.442371","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-34 dBm","-84 dBm","50 dB","Beacon frame, SN=3233, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5154","5.544754","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-36 dBm","-84 dBm","48 dB","Beacon frame, SN=3234, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5257","5.647435","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-34 dBm","-84 dBm","50 dB","Beacon frame, SN=3235, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5340","5.749533","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-36 dBm","-84 dBm","48 dB","Beacon frame, SN=3236, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5411","5.851921","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-34 dBm","-84 dBm","50 dB","Beacon frame, SN=3237, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5521","5.954362","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-36 dBm","-84 dBm","48 dB","Beacon frame, SN=3238, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5640","6.057020","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-34 dBm","-84 dBm","50 dB","Beacon frame, SN=3239, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5857","6.261519","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-32 dBm","-84 dBm","52 dB","Beacon frame, SN=3241, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"5955","6.364279","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-33 dBm","-84 dBm","51 dB","Beacon frame, SN=3242, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6028","6.466327","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-37 dBm","-84 dBm","47 dB","Beacon frame, SN=3243, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6119","6.569003","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-40 dBm","-84 dBm","44 dB","Beacon frame, SN=3244, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6234","6.671116","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-40 dBm","-84 dBm","44 dB","Beacon frame, SN=3245, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6318","6.773519","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-84 dBm","43 dB","Beacon frame, SN=3246, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6389","6.875928","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-84 dBm","40 dB","Beacon frame, SN=3247, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6501","6.978347","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-84 dBm","41 dB","Beacon frame, SN=3248, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6631","7.080768","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-84 dBm","41 dB","Beacon frame, SN=3249, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6701","7.183536","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-84 dBm","40 dB","Beacon frame, SN=3250, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6789","7.285524","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-84 dBm","40 dB","Beacon frame, SN=3251, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"6954","7.388196","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-84 dBm","40 dB","Beacon frame, SN=3252, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7080","7.490369","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-42 dBm","-84 dBm","42 dB","Beacon frame, SN=3253, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7248","7.593042","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-84 dBm","39 dB","Beacon frame, SN=3254, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7421","7.695650","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-84 dBm","41 dB","Beacon frame, SN=3255, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7604","7.797532","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-38 dBm","-84 dBm","46 dB","Beacon frame, SN=3256, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7677","7.899939","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-38 dBm","-84 dBm","46 dB","Beacon frame, SN=3257, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7762","8.002382","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-37 dBm","-84 dBm","47 dB","Beacon frame, SN=3258, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7862","8.104785","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-40 dBm","-84 dBm","44 dB","Beacon frame, SN=3259, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"7947","8.207155","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-84 dBm","40 dB","Beacon frame, SN=3260, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8036","8.309552","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-84 dBm","40 dB","Beacon frame, SN=3261, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8149","8.413860","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-42 dBm","-84 dBm","42 dB","Beacon frame, SN=3262, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8229","8.514341","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-84 dBm","40 dB","Beacon frame, SN=3263, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8335","8.618058","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-84 dBm","43 dB","Beacon frame, SN=3264, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8413","8.719065","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-42 dBm","-84 dBm","42 dB","Beacon frame, SN=3265, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8594","8.823223","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-39 dBm","-84 dBm","45 dB","Beacon frame, SN=3266, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8876","8.923935","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-84 dBm","41 dB","Beacon frame, SN=3267, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"8954","9.026626","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-84 dBm","41 dB","Beacon frame, SN=3268, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9032","9.128767","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-84 dBm","38 dB","Beacon frame, SN=3269, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9115","9.231175","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-84 dBm","41 dB","Beacon frame, SN=3270, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9219","9.333803","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-42 dBm","-84 dBm","42 dB","Beacon frame, SN=3271, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9472","9.436242","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-40 dBm","-84 dBm","44 dB","Beacon frame, SN=3272, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9582","9.538367","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-38 dBm","-84 dBm","46 dB","Beacon frame, SN=3273, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9692","9.640731","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-84 dBm","38 dB","Beacon frame, SN=3274, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"9823","9.743153","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-84 dBm","41 dB","Beacon frame, SN=3275, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10043","9.848805","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-43 dBm","-84 dBm","41 dB","Beacon frame, SN=3276, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10270","9.948207","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-41 dBm","-84 dBm","43 dB","Beacon frame, SN=3277, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10547","10.050378","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-42 dBm","-84 dBm","42 dB","Beacon frame, SN=3278, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10649","10.152765","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-47 dBm","-84 dBm","37 dB","Beacon frame, SN=3279, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10749","10.255230","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-84 dBm","38 dB","Beacon frame, SN=3280, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10874","10.357553","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-84 dBm","40 dB","Beacon frame, SN=3281, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"10996","10.459957","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-84 dBm","38 dB","Beacon frame, SN=3282, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11105","10.562359","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-52 dBm","-84 dBm","32 dB","Beacon frame, SN=3283, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11178","10.664779","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-48 dBm","-84 dBm","36 dB","Beacon frame, SN=3284, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11258","10.767168","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-54 dBm","-84 dBm","30 dB","Beacon frame, SN=3285, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11570","10.869758","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-44 dBm","-84 dBm","40 dB","Beacon frame, SN=3286, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11881","10.971963","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-52 dBm","-84 dBm","32 dB","Beacon frame, SN=3287, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"11983","11.074361","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-84 dBm","38 dB","Beacon frame, SN=3288, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12071","11.176763","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-53 dBm","-84 dBm","31 dB","Beacon frame, SN=3289, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12170","11.279189","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-57 dBm","-84 dBm","27 dB","Beacon frame, SN=3290, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12297","11.381875","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-54 dBm","-84 dBm","30 dB","Beacon frame, SN=3291, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12414","11.484269","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-84 dBm","35 dB","Beacon frame, SN=3292, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12544","11.589707","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-51 dBm","-84 dBm","33 dB","Beacon frame, SN=3293, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12669","11.688781","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-51 dBm","-84 dBm","33 dB","Beacon frame, SN=3294, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12847","11.791846","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-52 dBm","-84 dBm","32 dB","Beacon frame, SN=3295, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"12977","11.893550","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-52 dBm","-84 dBm","32 dB","Beacon frame, SN=3296, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13099","11.996423","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-52 dBm","-84 dBm","32 dB","Beacon frame, SN=3297, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13276","12.098378","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-45 dBm","-84 dBm","39 dB","Beacon frame, SN=3298, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13367","12.200810","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-46 dBm","-84 dBm","38 dB","Beacon frame, SN=3299, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13483","12.303161","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-53 dBm","-84 dBm","31 dB","Beacon frame, SN=3300, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13650","12.405985","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-53 dBm","-84 dBm","31 dB","Beacon frame, SN=3301, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13738","12.508014","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-53 dBm","-84 dBm","31 dB","Beacon frame, SN=3302, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13813","12.610368","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-50 dBm","-84 dBm","34 dB","Beacon frame, SN=3303, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13915","12.712808","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-84 dBm","35 dB","Beacon frame, SN=3304, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"13991","12.815191","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-84 dBm","35 dB","Beacon frame, SN=3305, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14099","12.917618","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-49 dBm","-84 dBm","35 dB","Beacon frame, SN=3306, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
"14191","13.020016","ca:59:d0:aa:59:da","ff:ff:ff:ff:ff:ff","802.11","444","-52 dBm","-84 dBm","32 dB","Beacon frame, SN=3307, FN=0, Flags=........C, BI=100, SSID=""Z5319476"""
