"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"12","0.064099","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-26 dBm","-85 dBm","59 dB","Beacon frame, SN=2403, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"57","1.907470","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-25 dBm","-86 dBm","61 dB","Beacon frame, SN=2411, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"65","2.214666","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-26 dBm","-86 dBm","60 dB","Beacon frame, SN=2412, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"114","2.521757","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-29 dBm","-86 dBm","57 dB","Beacon frame, SN=2413, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"225","4.365076","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-28 dBm","-87 dBm","59 dB","Beacon frame, SN=2423, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"228","4.672234","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-29 dBm","-87 dBm","58 dB","Beacon frame, SN=2424, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"239","4.979462","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-26 dBm","-87 dBm","61 dB","Beacon frame, SN=2425, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"484","5.901089","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-40 dBm","-87 dBm","47 dB","Beacon frame, SN=2428, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"516","6.208294","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-38 dBm","-88 dBm","50 dB","Beacon frame, SN=2429, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"521","6.515754","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-45 dBm","-88 dBm","43 dB","Beacon frame, SN=2430, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"524","6.822690","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-37 dBm","-88 dBm","51 dB","Beacon frame, SN=2431, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"557","8.358725","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-39 dBm","-87 dBm","48 dB","Beacon frame, SN=2436, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"570","8.665925","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-41 dBm","-87 dBm","46 dB","Beacon frame, SN=2437, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"572","8.973108","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-47 dBm","-87 dBm","40 dB","Beacon frame, SN=2438, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"595","10.816329","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-40 dBm","-88 dBm","48 dB","Beacon frame, SN=2446, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"596","11.123428","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-44 dBm","-87 dBm","43 dB","Beacon frame, SN=2447, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"648","11.430711","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-45 dBm","-87 dBm","42 dB","Beacon frame, SN=2448, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"655","11.737942","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-45 dBm","-87 dBm","42 dB","Beacon frame, SN=2449, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"755","13.273939","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-48 dBm","-86 dBm","38 dB","Beacon frame, SN=2454, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"784","13.581052","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-53 dBm","-86 dBm","33 dB","Beacon frame, SN=2455, FN=0, Flags=........C, BI=300, SSID=""COMP4336""[Malformed Packet]"
"792","13.888365","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-49 dBm","-86 dBm","37 dB","Beacon frame, SN=2456, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"793","14.195460","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-49 dBm","-85 dBm","36 dB","Beacon frame, SN=2457, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"797","15.731475","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-51 dBm","-85 dBm","34 dB","Beacon frame, SN=2462, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"825","16.039969","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-54 dBm","-84 dBm","30 dB","Beacon frame, SN=2463, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"829","16.345988","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-61 dBm","-84 dBm","23 dB","Beacon frame, SN=2464, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"849","16.653088","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-57 dBm","-84 dBm","27 dB","Beacon frame, SN=2465, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"896","18.496406","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-60 dBm","-84 dBm","24 dB","Beacon frame, SN=2471, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"942","18.803619","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-63 dBm","-84 dBm","21 dB","Beacon frame, SN=2472, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"947","19.110696","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-62 dBm","-85 dBm","23 dB","Beacon frame, SN=2473, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"980","19.418002","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-66 dBm","-85 dBm","19 dB","Beacon frame, SN=2474, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1108","20.954038","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-66 dBm","-85 dBm","19 dB","Beacon frame, SN=2479, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1115","21.261256","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-60 dBm","-86 dBm","26 dB","Beacon frame, SN=2480, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1136","21.568313","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-68 dBm","-86 dBm","18 dB","Beacon frame, SN=2481, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1139","21.875656","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-66 dBm","-86 dBm","20 dB","Beacon frame, SN=2482, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1151","23.411572","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-70 dBm","-86 dBm","16 dB","Beacon frame, SN=2487, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1189","23.718870","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-72 dBm","-86 dBm","14 dB","Beacon frame, SN=2488, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1192","24.026118","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-71 dBm","-86 dBm","15 dB","Beacon frame, SN=2489, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1219","24.333274","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-74 dBm","-86 dBm","12 dB","Beacon frame, SN=2490, FN=0, Flags=........C, BI=300, SSID=""COMP4336""[Malformed Packet]"
"1554","26.483597","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-69 dBm","-85 dBm","16 dB","Beacon frame, SN=2497, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1565","26.790896","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-73 dBm","-85 dBm","12 dB","Beacon frame, SN=2498, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1585","27.097990","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-74 dBm","-85 dBm","11 dB","Beacon frame, SN=2499, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1587","27.712485","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-71 dBm","-85 dBm","14 dB","Beacon frame, SN=2501, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1589","28.019854","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-72 dBm","-85 dBm","13 dB","Beacon frame, SN=2502, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1602","28.326933","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-70 dBm","-85 dBm","15 dB","Beacon frame, SN=2503, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1629","28.634000","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-70 dBm","-85 dBm","15 dB","Beacon frame, SN=2504, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1655","28.941314","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-71 dBm","-85 dBm","14 dB","Beacon frame, SN=2505, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1664","29.248595","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-71 dBm","-84 dBm","13 dB","Beacon frame, SN=2506, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1666","29.555703","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-71 dBm","-84 dBm","13 dB","Beacon frame, SN=2507, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1667","29.862915","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-70 dBm","-84 dBm","14 dB","Beacon frame, SN=2508, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1668","30.170023","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-70 dBm","-85 dBm","15 dB","Beacon frame, SN=2509, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1669","30.477338","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-74 dBm","-85 dBm","11 dB","Beacon frame, SN=2510, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1954","32.013380","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-71 dBm","-86 dBm","15 dB","Beacon frame, SN=2515, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1959","32.320526","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-70 dBm","-86 dBm","16 dB","Beacon frame, SN=2516, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1960","32.627620","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-73 dBm","-86 dBm","13 dB","Beacon frame, SN=2517, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1986","32.934956","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-73 dBm","-86 dBm","13 dB","Beacon frame, SN=2518, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"1994","33.242059","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-73 dBm","-86 dBm","13 dB","Beacon frame, SN=2519, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2012","33.856431","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-73 dBm","-86 dBm","13 dB","Beacon frame, SN=2523, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2014","34.163690","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-73 dBm","-86 dBm","13 dB","Beacon frame, SN=2524, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2022","34.470970","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-73 dBm","-86 dBm","13 dB","Beacon frame, SN=2525, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2025","34.778178","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-73 dBm","-86 dBm","13 dB","Beacon frame, SN=2526, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2026","35.085382","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-72 dBm","-86 dBm","14 dB","Beacon frame, SN=2527, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2032","35.392604","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-72 dBm","-86 dBm","14 dB","Beacon frame, SN=2528, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2034","35.699776","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-72 dBm","-86 dBm","14 dB","Beacon frame, SN=2529, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2038","36.006988","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-73 dBm","-85 dBm","12 dB","Beacon frame, SN=2530, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2041","36.314176","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-73 dBm","-85 dBm","12 dB","Beacon frame, SN=2531, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2043","36.621288","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-73 dBm","-85 dBm","12 dB","Beacon frame, SN=2532, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2045","36.928581","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-73 dBm","-85 dBm","12 dB","Beacon frame, SN=2533, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2071","37.235705","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-74 dBm","-86 dBm","12 dB","Beacon frame, SN=2536, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2079","37.542991","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-74 dBm","-86 dBm","12 dB","Beacon frame, SN=2537, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2081","37.850191","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-74 dBm","-86 dBm","12 dB","Beacon frame, SN=2538, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2119","38.157302","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-75 dBm","-85 dBm","10 dB","Beacon frame, SN=2539, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2376","38.464608","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-75 dBm","-85 dBm","10 dB","Beacon frame, SN=2540, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2402","38.771820","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-75 dBm","-85 dBm","10 dB","Beacon frame, SN=2541, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2426","39.078925","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-74 dBm","-85 dBm","11 dB","Beacon frame, SN=2542, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2431","39.386229","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-74 dBm","-85 dBm","11 dB","Beacon frame, SN=2543, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2456","39.693414","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-74 dBm","-85 dBm","11 dB","Beacon frame, SN=2544, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2547","40.000531","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-75 dBm","-85 dBm","10 dB","Beacon frame, SN=2545, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2560","40.307823","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-75 dBm","-86 dBm","11 dB","Beacon frame, SN=2546, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2579","40.614936","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-75 dBm","-86 dBm","11 dB","Beacon frame, SN=2547, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2602","40.922142","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-75 dBm","-86 dBm","11 dB","Beacon frame, SN=2548, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2620","41.229335","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-74 dBm","-86 dBm","12 dB","Beacon frame, SN=2549, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2622","41.536628","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-74 dBm","-86 dBm","12 dB","Beacon frame, SN=2550, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2625","41.843837","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-75 dBm","-86 dBm","11 dB","Beacon frame, SN=2551, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2642","42.150956","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-70 dBm","-86 dBm","16 dB","Beacon frame, SN=2552, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2645","42.458166","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-72 dBm","-86 dBm","14 dB","Beacon frame, SN=2553, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2648","42.765456","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-71 dBm","-86 dBm","15 dB","Beacon frame, SN=2554, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2684","43.072642","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-70 dBm","-86 dBm","16 dB","Beacon frame, SN=2555, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2705","43.379852","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-70 dBm","-86 dBm","16 dB","Beacon frame, SN=2556, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2706","43.686957","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-68 dBm","-86 dBm","18 dB","Beacon frame, SN=2557, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2709","43.994272","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-70 dBm","-86 dBm","16 dB","Beacon frame, SN=2558, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2890","45.222966","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-75 dBm","-86 dBm","11 dB","Beacon frame, SN=2562, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"2936","45.530279","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-73 dBm","-86 dBm","13 dB","Beacon frame, SN=2563, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"3019","45.837492","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-74 dBm","-86 dBm","12 dB","Beacon frame, SN=2564, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"3120","46.144555","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-73 dBm","-86 dBm","13 dB","Beacon frame, SN=2565, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"3178","46.451850","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-72 dBm","-86 dBm","14 dB","Beacon frame, SN=2566, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"3275","46.758983","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-71 dBm","-86 dBm","15 dB","Beacon frame, SN=2567, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"3370","47.066290","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-73 dBm","-86 dBm","13 dB","Beacon frame, SN=2568, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"3510","47.373495","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-71 dBm","-86 dBm","15 dB","Beacon frame, SN=2569, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"3626","47.680589","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-76 dBm","-86 dBm","10 dB","Beacon frame, SN=2570, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"3748","47.987892","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-72 dBm","-86 dBm","14 dB","Beacon frame, SN=2571, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"3872","48.295111","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-69 dBm","-86 dBm","17 dB","Beacon frame, SN=2572, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4016","48.602185","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-70 dBm","-86 dBm","16 dB","Beacon frame, SN=2573, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4052","48.909550","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-73 dBm","-86 dBm","13 dB","Beacon frame, SN=2574, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4095","49.216609","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-71 dBm","-86 dBm","15 dB","Beacon frame, SN=2575, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4122","49.523809","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-75 dBm","-86 dBm","11 dB","Beacon frame, SN=2576, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
"4124","49.831124","46:b3:2c:81:00:f3","ff:ff:ff:ff:ff:ff","802.11","244","-68 dBm","-86 dBm","18 dB","Beacon frame, SN=2577, FN=0, Flags=........C, BI=300, SSID=""COMP4336"""
